Group Title,Notation,Parent
Pastry chefs,5434/05,5434
Sous chefs,5434/06,5434
Chefs n.e.c.,5434/99,5434
Cooks,5435,543
Cooks,5435/00,5435
Catering and bar managers,5436,543
Catering and bar managers,5436/00,5436
Other Skilled Trades,544,54
"Glass and ceramics makers, decorators and finishers",5441,544
"Ceramic makers, decorators and finishers",5441/01,5441
Glass blowers,5441/02,5441
Glass engravers,5441/03,5441
"Glass makers, decorators and finishers",5441/04,5441
Optical glass makers,5441/05,5441
Potters,5441/06,5441
"Glass and ceramics makers, decorators and finishers n.e.c.",5441/99,5441
Furniture makers and other craft woodworkers,5442,544
Cabinet makers,5442/01,5442
Framers,5442/02,5442
Furniture makers and fitters,5442/03,5442
Furniture sprayers and finishers,5442/04,5442
Restorers,5442/05,5442
Shed makers,5442/06,5442
Furniture makers and other craft woodworkers n.e.c.,5442/99,5442
Florists,5443,544
Florists,5443/00,5443
Other skilled trades n.e.c.,5449,544
Basket makers,5449/01,5449
Candle makers,5449/02,5449
Engravers,5449/03,5449
"Goldsmiths, silversmiths, jewellers and precious stone workers",5449/04,5449
Hairpiece and wig makers,5449/05,5449
Model makers,5449/06,5449
"Musical instrument repairers, makers and turners",5449/07,5449
Paint sprayers,5449/08,5449
Paint sprayers,5449/08,8115
Pattern makers,5449/09,5449
Sign makers and writers,5449/10,5449
Toy makers,5449/11,5449
Other skilled trades n.e.c.,5449/99,5449
"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6,
CARING PERSONAL SERVICE OCCUPATIONS,61,6
Teaching and Childcare Support Occupations,611,61
Early education and childcare assistants,6111,611
Early education and childcare assistants,6111/00,6111
Teaching assistants,6112,611
Cover supervisors,6112/01,6112
School teaching assistants,6112/02,6112
Teaching assistants n.e.c.,6112/99,6112
Educational support assistants,6113,611
Behaviour support assistants,6113/01,6113
Communication support assistants,6113/02,6113
Learning support assistants,6113/03,6113
Educational support assistants n.e.c.,6113/99,6113
Childminders,6114,611
Childminders,6114/00,6114
Nannies and au pairs,6116,611
Au pairs,6116/01,6116
Nannies,6116/02,6116
Playworkers,6117,611
Playworkers,6117/00,6117
Animal Care and Control Services,612,61
Pest control officers,6121,612
Bat control officers,6121/01,6121
Bird control officers,6121/02,6121
Fumigators,6121/03,6121
Mole catchers,6121/04,6121
Rodent control officers,6121/05,6121
Wood sprayers,6121/06,6121
Pest control officers n.e.c.,6121/99,6121
Animal care services occupations n.e.c.,6129,612
Animal boarding assistants,6129/01,6129
Animal breeders,6129/02,6129
Animal groomers,6129/03,6129
Animal trainers,6129/04,6129
Animal walkers,6129/05,6129
Animal welfare workers,6129/06,6129
Stable workers,6129/07,6129
Veterinary assistants,6129/08,6129
Zookeepers,6129/09,6129
Animal care services occupations n.e.c.,6129/99,6129
Caring Personal Services,613,61
Nursing auxiliaries and assistants,6131,613
Blood donor carers,6131/01,6131
First aid trainers,6131/02,6131
Maternity care assistants,6131/03,6131
Occupational therapy assistants,6131/04,6131
Phlebotomists,6131/05,6131
Physiotherapy assistants,6131/06,6131
Radiography assistants,6131/07,6131
Speech and language therapy assistants,6131/08,6131
Sterile services assistants,6131/09,6131
Theatre assistants,6131/10,6131
Nursing auxiliaries and assistants n.e.c.,6131/99,6131
Ambulance staff (excluding paramedics),6132,613
Ambulance staff (excluding paramedics),6132/00,6132
Dental nurses,6133,613
Dental nurses,6133/01,6133
Orthodontic nurses,6133/02,6133
Houseparents and residential wardens,6134,613
Foster carers,6134/01,6134
Residential care officers,6134/02,6134
School matrons and houseparents,6134/03,6134
Wardens,6134/04,6134
Houseparents and residential wardens n.e.c.,6134/99,6134
Care workers and home carers,6135,613
Community support workers,6135/01,6135
Domiciliary care workers,6135/02,6135
Residential care workers,6135/03,6135
Care workers and home carers n.e.c.,6135/99,6135
Senior care workers,6136,613
Senior community support workers,6136/01,6136
Senior domiciliary care workers,6136/02,6136
Senior residential care workers,6136/03,6136
Senior care workers n.e.c.,6136/99,6136
Care escorts,6137,613
Care escorts,6137/00,6137
"Undertakers, mortuary and crematorium assistants",6138,613
Crematorium assistants,6138/01,6138
Driver-bearers,6138/02,6138
Embalmers,6138/03,6138
Funeral directors and undertakers,6138/04,6138
Taxidermists,6138/05,6138
"Undertakers, mortuary and crematorium assistants n.e.c.",6138/99,6138
"LEISURE, TRAVEL AND RELATED PERSONAL SERVICE OCCUPATIONS",62,6
Leisure and Travel Services,621,62
Sports and leisure assistants,6211,621
Bookmakers,6211/01,6211
Croupiers,6211/02,6211
Film and television runners,6211/03,6211
Leisure and recreation assistants,6211/04,6211
Lifeguards,6211/05,6211
Museum and heritage assistants,6211/06,6211
Sports and leisure assistants n.e.c.,6211/99,6211
Travel agents,6212,621
Travel agents,6212/00,6212
Air travel assistants,6213,621
Flight attendants,6213/01,6213
Passenger services assistants,6213/02,6213
Air travel assistants n.e.c.,6213/99,6213
Rail travel assistants,6214,621
Revenue protection officers,6214/01,6214
Station assistants,6214/02,6214
Train conductors,6214/03,6214
Rail travel assistants n.e.c.,6214/99,6214
Leisure and travel service occupations n.e.c.,6219,621
Holiday representatives,6219/01,6219
Ship stewards,6219/02,6219
Tour guides,6219/03,6219
Tourist information assistants,6219/04,6219
Leisure and travel service occupations n.e.c.,6219/99,6219
Hairdressers and Related Services,622,62
Hairdressers and barbers,6221,622
Barbers,6221/01,6221
Hairdressers,6221/02,6221
Hairdressers and barbers n.e.c.,6221/99,6221
Beauticians and related occupations,6222,622
Body piercers,6222/01,6222
Makeup artists,6222/02,6222
Manicurists and pedicurists,6222/03,6222
Tattoo artists,6222/04,6222
Weight loss advisors,6222/05,6222
Beauticians and related occupations n.e.c.,6222/99,6222
Housekeeping and Related Services,623,62
Housekeepers and related occupations,6231,623
Housekeepers and related occupations,6231/00,6231
Caretakers,6232,623
Caretakers,6232/00,6232
Cleaning and Housekeeping Managers and Supervisors,624,62
Cleaning and housekeeping managers and supervisors,6240,624
Cleaning and housekeeping managers and supervisors,6240/00,6240
Bed and Breakfast and Guest House Owners and Proprietors,625,62
Bed and breakfast and guest house owners and proprietors,6250,625
Bed and breakfast and guest house owners and proprietors,6250/00,6250
COMMUNITY AND CIVIL ENFORCEMENT OCCUPATIONS,63,6
Community and Civil Enforcement Occupations,631,63
Police community support officers,6311,631
Police community support officers,6311/00,6311
Parking and civil enforcement occupations,6312,631
Car park attendants,6312/01,6312
Civil enforcement officers,6312/02,6312
Neighbourhood wardens,6312/03,6312
Parking and civil enforcement occupations n.e.c,6312/99,6312
SALES AND CUSTOMER SERVICE OCCUPATIONS,7,
SALES OCCUPATIONS,71,7
Sales Assistants and Retail Cashiers,711,71
Sales and retail assistants,7111,711
Sales and retail and assistants,7111/00,7111
Retail cashiers and check-out operators,7112,711
Retail cashiers and check-out operators,7112/00,7112
Telephone salespersons,7113,711
Telephone salespersons,7113/00,7113
Pharmacy and optical dispensing assistants,7114,711
Optical dispensing assistants,7114/01,7114
Pharmacy dispensing assistants,7114/02,7114
Pharmacy and optical dispensing assistants n.e.c,7114/99,7114
Vehicle and parts salespersons and advisers,7115,711
Vehicle parts advisers,7115/01,7115
Vehicle sales executives,7115/02,7115
Sales Related Occupations,712,71
Collector salespersons and credit agents,7121,712
Credit agents,7121/01,7121
Insurance agents,7121/02,7121
Sales representatives,7121/03,7121
"Debt, rent and other cash collectors",7122,712
Bailiffs,7122/01,7122
Debt collectors,7122/02,7122
Meter readers,7122/03,7122
Pawn brokers,7122/04,7122
Vending machine operators,7122/05,7122
"Debt, rent and other cash collectors n.e.c.",7122/99,7122
Roundspersons and van salespersons,7123,712
Roundspersons and van salespersons,7123/00,7123
Market and street traders and assistants,7124,712
Market and street traders and assistants,7124/00,7124
Visual merchandisers and related occupations,7125,712
Fashion stylists,7125/01,7125
Visual merchandisers and window dressers,7125/02,7125
Visual merchandisers and related occupations n.e.c.,7125/99,7125
Sales related occupations n.e.c.,7129,712
Demonstrators,7129/01,7129
Energy consultants,7129/02,7129
Hire controllers,7129/03,7129
Print brokers,7129/04,7129
Sales related occupations n.e.c.,7129/99,7129
Shopkeepers and Sales Supervisors,713,71
Shopkeepers and owners - retail and wholesale,7131,713
Antique dealers,7131/01,7131
Art dealers,7131/02,7131
Car traders,7131/03,7131
Greengrocers,7131/04,7131
Jewellers,7131/05,7131
Newsagents,7131/06,7131
Wholesalers,7131/07,7131
Wine merchants,7131/08,7131
Shopkeepers and owners - retail and wholesale n.e.c.,7131/99,7131
Sales supervisors - retail and wholesale,7132,713
Sales supervisors - retail and wholesale,7132/00,7132
CUSTOMER SERVICE OCCUPATIONS,72,7
Customer Service Occupations,721,72
Call and contact centre occupations,7211,721
Call and contact centre occupations,7211/00,7211
Telephonists,7212,721
Telephonists,7212/00,7212
Communication operators,7213,721
Air traffic control assistants,7213/01,7213
Emergency services call handlers,7213/02,7213
Taxi controllers,7213/03,7213
Communication operators n.e.c.,7213/99,7213
Market research interviewers,7214,721
Market researchers,7214/01,7214
Mystery shoppers,7214/02,7214
Political canvassers,7214/03,7214
Traffic enumerators,7214/04,7214
Customer service occupations n.e.c.,7219,721
Customer service advisers,7219/01,7219
Reservations agents,7219/02,7219
Student ambassadors,7219/03,7219
Customer service occupations n.e.c.,7219/99,7219
Customer Service Supervisors,722,72
Customer service supervisors,7220,722
Customer service supervisors,7220/00,7220
"PROCESS, PLANT AND MACHINE OPERATIVES",8,
"PROCESS, PLANT AND MACHINE OPERATIVES",81,8
Process Operatives,811,81
"Food, drink and tobacco process operatives",8111,811
Bakery workers,8111/01,8111
Brewery and distillery workers,8111/02,8111
Dairy workers,8111/03,8111
Tobacco workers,8111/04,8111
"Food, drink and tobacco process operatives n.e.c.",8111/99,8111
Textile process operatives,8112,811
Colourists,8112/01,8112
Cutters,8112/02,8112
Spinners,8112/03,8112
Winders,8112/04,8112
Textile process operatives n.e.c.,8112/99,8112
Chemical and related process operatives,8113,811
Chemical and related process operatives,8113/00,8113
Plastics process operatives,8114,811
Laminators,8114/01,8114
Moulders,8114/02,8114
Plastic fabricators,8114/03,8114
Plastics process operatives n.e.c.,8114/99,8114
Metal making and treating process operatives,8115,811
Furnace operators,8115/01,8115
Galvanisers and platers,8115/02,8115
Jiggers,8115/03,8115
Metal fabricators,8115/04,8115
Paint sprayers,8115/05,5449
Paint sprayers,8115/05,8115
Powder coaters,8115/06,8115
Wire drawers,8115/07,8115
Metal making and treating process operatives n.e.c.,8115/99,8115
Process operatives n.e.c.,8119,811
Ceramic workers,8119/01,8119
Concrete operatives,8119/02,8119
Glass workers,8119/03,8119
Rubber workers,8119/04,8119
Process operatives n.e.c.,8119/99,8119
Metal Working Machine Operatives,812,81
Metal working machine operatives,8120,812
Metal dressers and finishers,8120/01,8120
Press and stamp operators,8120/02,8120
Metal working machine operatives n.e.c.,8120/99,8120
Plant and Machine Operatives,813,81
Paper and wood machine operatives,8131,813
Paper and wood machine operatives,8131/00,8131
Mining and quarry workers and related operatives,8132,813
Coal miners and quarry workers,8132/01,8132
Offshore oil and gas workers,8132/02,8132
Onshore oil and gas workers,8132/03,8132
Mining and quarry workers and related operatives n.e.c.,8132/99,8132
Energy plant operatives,8133,813
Boiler operatives,8133/01,8133
Compressor operatives,8133/02,8133
Nuclear decommissioning operatives,8133/03,8133
Energy plant operatives n.e.c.,8133/99,8133
Water and sewerage plant operatives,8134,813
Distribution operatives,8134/01,8134
Leakage operatives,8134/02,8134
Water treatment operatives,8134/03,8134
Water and sewerage plant operatives n.e.c.,8134/99,8134
Printing machine assistants,8135,813
Printing machine assistants,8135/00,8135
Plant and machine operatives n.e.c.,8139,813
Aerial installers,8139/01,8139
Cable makers,8139/02,8139
Laser operators,8139/03,8139
Spring makers,8139/04,8139
Vehicle dismantlers,8139/05,8139
Plant and machine operatives n.e.c.,8139/99,8139
Assemblers and Routine Operatives,814,81
Assemblers (electrical and electronic products),8141,814
Assemblers (electrical and electronic products),8141/00,8141
Assemblers (vehicles and metal goods),8142,814
Metal goods assemblers (non-vehicle),8142/02,8142
Vehicle and vehicle part assemblers,8142/03,8142
Assemblers (vehicles and metal goods) n.e.c.,8142/99,8142
Routine inspectors and testers,8143,814
Routine inspectors and testers,8143/00,8143
"Weighers, graders and sorters",8144,814
Graders,8144/01,8144
Sorters,8144/02,8144
Weighers,8144/03,8144
"Weighers, graders and sorters n.e.c.",8144/99,8144
"Tyre, exhaust and windscreen fitters",8145,814
Tyre technicians,8145/01,8145
Windscreen fitters,8145/02,8145
"Tyre, exhaust and windscreen fitters n.e.c.",8145/99,8145
Sewing machinists,8146,814
Sewing machinists,8146/00,8146
Assemblers and routine operatives n.e.c.,8149,814
Assemblers and routine operatives n.e.c.,8149/00,8149
Construction Operatives,815,81
"Scaffolders, stagers and riggers",8151,815
Riggers,8151/01,8151
Scaffolders and stagers,8151/02,8151
"Scaffolders, stagers and riggers n.e.c.",8151/99,8151
Road construction operatives,8152,815
Concreters,8152/01,8152
Pavers,8152/02,8152
Road surfacers,8152/03,8152
Road construction operatives n.e.c.,8152/99,8152
Rail construction and maintenance operatives,8153,815
Rail construction and maintenance operatives,8153/00,8153
Construction operatives n.e.c.,8159,815
Asbestos removers,8159/01,8159
Blind fitters,8159/02,8159
Building maintenance operatives,8159/03,8159
Cable layers,8159/04,8159
Ceiling fixers,8159/05,8159
Demolition operatives,8159/06,8159
Drainage operatives,8159/07,8159
Pipe layers,8159/08,8159
Sign fitters,8159/09,8159
Thermal insulation operatives,8159/10,8159
Construction operatives n.e.c.,8159/99,8159
"Production, Factory and Assembly Supervisors",816,81
"Production, factory and assembly supervisors",8160,816
"Production, factory and assembly supervisors",8160/00,8160
TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVES,82,8
Road Transport Drivers,821,82
Large goods vehicle drivers,8211,821
Large goods vehicle drivers,8211/00,8211
Bus and coach drivers,8212,821
Bus and coach drivers,8212/00,8212
Taxi and cab drivers and chauffeurs,8213,821
Taxi and cab drivers and chauffeurs,8213/00,8213
Delivery drivers and couriers,8214,821
Delivery drivers and couriers,8214/00,8214
Driving instructors,8215,821
Car driving instructors,8215/01,8215
Heavy and commercial vehicle driving instructors,8215/02,8215
Motorcycle instructors,8215/03,8215
Driving instructors n.e.c.,8215/99,8215
Road transport drivers n.e.c.,8219,821
Road transport drivers n.e.c.,8219/00,8219
Mobile Machine Drivers and Operatives,822,82
Crane drivers,8221,822
Crane drivers,8221/00,8221
Fork-lift truck drivers,8222,822
Fork-lift truck drivers,8222/00,8222
Mobile machine drivers and operatives n.e.c.,8229,822
Agricultural machinery drivers,8229/01,8229
Mobile machine drivers and operatives n.e.c.,8229/99,8229
Other Drivers and Transport Operatives,823,82
Train and tram drivers,8231,823
Train and tram drivers,8231/00,8231
Marine and waterways transport operatives,8232,823
Marine and waterways transport operatives,8232/00,8232
Air transport operatives,8233,823
Aircraft refuellers,8233/01,8233
Flight dispatchers,8233/02,8233
Ramp agents,8233/03,8233
Air transport operatives n.e.c.,8233/99,8233
Rail transport operatives,8234,823
Level crossing attendants,8234/01,8234
Railway controllers and signallers,8234/02,8234
Shunters,8234/03,8234
Rail transport operatives n.e.c.,8234/99,8234
Other drivers and transport operatives n.e.c.,8239,823
Other drivers and transport operatives n.e.c.,8239/00,8239
ELEMENTARY OCCUPATIONS,9,
ELEMENTARY TRADES AND RELATED OCCUPATIONS,91,9
Elementary Agricultural Occupations,911,91
Farm workers,9111,911
Farm labourers,9111/00,9111
Forestry and related workers,9112,911
Forest workers,9112/01,9112
Park wardens,9112/02,9112
Forestry and related workers n.e.c.,9112/99,9112
Fishing and other elementary agriculture occupations n.e.c.,9119,911
Cutters and pickers,9119/01,9119
Hatchery workers,9119/02,9119
Milkers,9119/03,9119
Shearers,9119/04,9119
Fishing and other elementary agriculture occupations n.e.c.,9119/99,9119
Elementary Construction Occupations,912,91
Groundworkers,9121,912
Groundworkers,9121/00,9121
Elementary construction occupations n.e.c.,9129,912
Builder's labourers,9129/01,9129
Carpenter's and joiner's assistants,9129/02,9129
Electrician's assistants,9129/03,9129
Grave diggers,9129/04,9129
Insulators,9129/05,9129
Marquee erectors,9129/06,9129
Plumber's assistants,9129/07,9129
Elementary construction occupations n.e.c.,9129/99,9129
Elementary Process Plant Occupations,913,91
Industrial cleaning process occupations,9131,913
Industrial cleaning process occupations,9131/00,9131
"Packers, bottlers, canners and fillers",9132,913
Machine operatives,9132/01,9132
"Manual packers, bottlers, canners and fillers",9132/02,9132
"Packers, bottlers, canners and fillers n.e.c.",9132/99,9132
Elementary process plant occupations n.e.c.,9139,913
Elementary process plant occupations n.e.c.,9139/00,9139
ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONS,92,9
Elementary Administration Occupations,921,92
"Postal workers, mail sorters and messengers",9211,921
Postal delivery workers,9211/01,9211
Mail sorters,9211/02,9211
"Postal workers, mail sorters and messengers n.e.c.",9211/99,9211
Elementary administration occupations n.e.c.,9219,921
Reprographics assistants,9219/01,9219
Elementary administration occupations n.e.c.,9219/99,9219
Elementary Cleaning Occupations,922,92
Window cleaners,9221,922
Window cleaners,9221/00,9221
Street cleaners,9222,922
Street cleaners,9222/00,9222
Cleaners and domestics,9223,922
Commercial cleaners,9223/01,9223
Domestic cleaners,9223/02,9223
Cleaners and domestics n.e.c.,9223/99,9223
"Launderers, dry cleaners and pressers",9224,922
Carpet cleaners,9224/01,9224
Dry cleaners and laundry workers,9224/02,9224
Ironers and pressers,9224/03,9224
"Launderers, dry cleaners and pressers n.e.c.",9224/99,9224
Refuse and salvage occupations,9225,922
Recycling operatives,9225/01,9225
Refuse collectors,9225/02,9225
Refuse and salvage occupations n.e.c.,9225/99,9225
Vehicle valeters and cleaners,9226,922
Vehicle valeters and cleaners,9226/00,9226
Elementary cleaning occupations n.e.c.,9229,922
Bin cleaner,9229/01,9229
Chimney sweepers,9229/02,9229
Drain cleaners,9229/03,9229
Toilet attendants,9229/04,9229
Elementary cleaning occupations n.e.c.,9229/99,9229
Elementary Security Occupations,923,92
Security guards and related occupations,9231,923
CCTV operators,9231/01,9231
Court enforcement officers,9231/02,9231
Court ushers,9231/03,9231
Detention officers,9231/04,9231
Door supervisors,9231/05,9231
Security officers,9231/06,9231
Security guards and related occupations n.e.c.,9231/99,9231
School midday and crossing patrol occupations,9232,923
School midday and crossing patrol occupations,9232/00,9232
Exam invigilators,9233,923
Exam invigilators,9233/00,9233
Elementary Sales Occupations,924,92
Shelf fillers,9241,924
Shelf fillers,9241/00,9241
Elementary sales occupations n.e.c.,9249,924
Order pickers,9249/01,9249
Trolley collectors,9249/02,9249
Elementary sales occupations n.e.c.,9249/99,9249
Elementary Storage Occupations,925,92
Elementary storage supervisors,9251,925
Elementary storage supervisors,9251/00,9251
Warehouse operatives,9252,925
Warehouse operatives,9252/00,9252
Delivery operatives,9253,925
Delivery operatives,9253/00,9253
Elementary storage occupations n.e.c.,9259,925
"Dockers, slingers and stevedores",9259/01,9259
Elementary storage occupations n.e.c.,9259/99,9259
Other Elementary Services Occupations,926,92
Bar and catering supervisors,9261,926
Bar and catering supervisors,9261/00,9261
Hospital porters,9262,926
Hospital porters,9262/00,9262
Kitchen and catering assistants,9263,926
Kitchen and catering assistants,9263/00,9263
Waiters and waitresses,9264,926
Waiters and waitresses,9264/00,9264
Bar staff,9265,926
Bar staff,9265/00,9265
Coffee shop workers,9266,926
Coffee shop workers,9266/00,9266
Leisure and theme park attendants,9267,926
Arcade attendants,9267/01,9267
Cinema attendants,9267/02,9267
Gallery attendants,9267/03,9267
Museum attendants,9267/04,9267
Stewards,9267/05,9267
Theatre attendants,9267/06,9267
Theme park attendants,9267/07,9267
Leisure and theme park attendants n.e.c.,9267/99,9267
Other elementary services occupations n.e.c.,9269,926
Bingo callers,9269/01,9269
Clairvoyants and mediums,9269/02,9269
Porters,9269/03,9269
Stage hands,9269/04,9269
Turnstile operators,9269/05,9269
Other elementary service occupations n.e.c.,9269/99,9269
